epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.12286,3.92211,3.20479,1.76182,0.00575,0.0641,0.00326,0.00108,3.80537,3.07235,1.55349,0.00054,0.00054,0.00054
2,2.10351,2.70128,2.02351,1.17539,0.6198,0.51035,0.49409,0.17949,2.46036,1.63857,1.19221,0.00107822,0.00107822,0.00107822
3,3.0297,2.51052,1.55433,1.1228,0.42749,0.5099,0.36272,0.0999,2.67282,1.65688,1.15144,0.00159426,0.00159426,0.00159426
4,3.96883,2.50218,1.48611,1.11744,0.08094,0.17494,0.03926,0.00866,3.982,2.34713,1.56867,0.0018812,0.0018812,0.0018812
5,4.90979,2.32795,1.37218,1.07627,0.15714,0.26775,0.09686,0.01759,3.73103,2.10068,1.41633,0.0018416,0.0018416,0.0018416
6,5.83695,2.25402,1.32181,1.0654,0.44202,0.4941,0.33083,0.07018,3.11341,1.67261,1.2237,0.001802,0.001802,0.001802
7,6.77076,2.19097,1.31242,1.06134,0.54048,0.50568,0.41054,0.07642,3.17382,1.49764,1.22882,0.0017624,0.0017624,0.0017624
8,7.7016,2.20425,1.27741,1.05034,0.20241,0.22479,0.09855,0.01553,3.78067,1.6911,1.42761,0.0017228,0.0017228,0.0017228
9,8.62788,2.12042,1.28741,1.04718,0.6176,0.51332,0.49121,0.13291,2.82673,1.42494,1.18643,0.0016832,0.0016832,0.0016832
10,9.52032,2.12648,1.27989,1.03246,0.25343,0.26018,0.11148,0.01732,3.78683,2.10676,1.48201,0.0016436,0.0016436,0.0016436
11,10.4565,2.10005,1.25683,1.02759,0.06111,0.07656,0.0216,0.00389,4.36687,2.68105,1.57935,0.001604,0.001604,0.001604
12,11.345,2.1128,1.22026,1.04514,0.56798,0.52838,0.43829,0.0902,3.00356,1.41924,1.20612,0.0015644,0.0015644,0.0015644
13,12.2527,2.18116,1.2378,1.04393,0.52256,0.57156,0.4118,0.09881,2.81039,1.99775,1.16842,0.0015248,0.0015248,0.0015248
14,13.1572,2.01929,1.19651,1.01327,0.71476,0.62855,0.60571,0.25844,1.95678,1.32626,0.99904,0.0014852,0.0014852,0.0014852
15,14.1204,2.08246,1.19927,1.02614,0.50294,0.47,0.34814,0.09339,3.04673,1.65009,1.22192,0.0014456,0.0014456,0.0014456
16,15.0688,2.0965,1.18154,1.02501,0.4637,0.41837,0.28583,0.04927,3.44206,1.61406,1.34096,0.001406,0.001406,0.001406
